="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries"
="post_flag=0",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1",="1.366***",="",="",="0.957***",="",="",="0.979***",="",="",="1.366***",="",=""
="",="(0.062)",="",="",="(0.061)",="",="",="(0.090)",="",="",="(0.084)",="",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="0.015",="0.015",="-0.042",="0.011",="0.012",="-0.048",="-0.422",="-0.420",="-0.479",="0.000",="0.000",="0.000"
="",="(0.060)",="(0.060)",="(0.144)",="(0.059)",="(0.059)",="(0.140)",="(0.417)",="(0.417)",="(0.419)",="(.)",="(.)",="(.)"
="National Cancer Institute",="-0.522***",="-0.522***",="-0.392***",="-0.484***",="-0.484***",="-0.356***",="-0.242*",="-0.238*",="-0.107",="0.000",="0.000",="0.000"
="",="(0.044)",="(0.044)",="(0.108)",="(0.043)",="(0.043)",="(0.105)",="(0.133)",="(0.133)",="(0.143)",="(.)",="(.)",="(.)"
="National Health and Medical Rese",="-0.022",="-0.022",="-0.036",="0.020",="0.019",="0.008",="0.319*",="0.324*",="0.314*",="0.000",="0.000",="0.000"
="",="(0.053)",="(0.052)",="(0.128)",="(0.051)",="(0.051)",="(0.125)",="(0.171)",="(0.172)",="(0.181)",="(.)",="(.)",="(.)"
="Wellcome Trust",="-0.408***",="-0.408***",="-0.395*",="0.025",="0.019",="0.058",="0.107",="0.100",="0.125",="0.000",="0.000",="0.000"
="",="(0.089)",="(0.089)",="(0.217)",="(0.087)",="(0.087)",="(0.212)",="(0.172)",="(0.172)",="(0.175)",="(.)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # Wellcome Trust",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # INCa/INSERM/DGOS",="0.063",="",="",="0.069",="",="",="0.068",="",="",="0.063",="",=""
="",="(0.087)",="",="",="(0.085)",="",="",="(0.127)",="",="",="(0.118)",="",=""
="post_flag=1 # National Cancer Institute",="-0.445***",="",="",="-0.446***",="",="",="-0.446***",="",="",="-0.445***",="",=""
="",="(0.066)",="",="",="(0.064)",="",="",="(0.096)",="",="",="(0.088)",="",=""
="post_flag=1 # National Health and Medical Rese",="0.051",="",="",="0.043",="",="",="0.045",="",="",="0.051",="",=""
="",="(0.078)",="",="",="(0.076)",="",="",="(0.116)",="",="",="(0.110)",="",=""
="post_flag=1 # Wellcome Trust",="0.304**",="",="",="0.224*",="",="",="0.243",="",="",="0.304",="",=""
="",="(0.132)",="",="",="(0.129)",="",="",="(0.211)",="",="",="(0.219)",="",=""
="False",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="True",="-0.129",="-0.129*",="-0.129*",="-0.192**",="-0.192**",="-0.190**",="-0.158",="-0.154",="-0.150",="",="",=""
="",="(0.078)",="(0.078)",="(0.078)",="(0.076)",="(0.076)",="(0.076)",="(0.260)",="(0.261)",="(0.262)",="",="",=""
="start_year=2007",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="start_year=2008",="-0.038",="-0.038",="-0.038",="0.008",="0.007",="0.006",="0.039",="0.038",="0.037",="",="",=""
="",="(0.027)",="(0.027)",="(0.027)",="(0.026)",="(0.026)",="(0.026)",="(0.060)",="(0.060)",="(0.060)",="",="",=""
="start_year=2009",="0.271***",="0.271***",="0.271***",="0.221***",="0.223***",="0.223***",="0.239***",="0.242***",="0.244***",="",="",=""
="",="(0.026)",="(0.026)",="(0.026)",="(0.025)",="(0.025)",="(0.025)",="(0.069)",="(0.069)",="(0.069)",="",="",=""
="start_year=2010",="0.269***",="0.269***",="0.269***",="0.291***",="0.290***",="0.290***",="0.271***",="0.269***",="0.268***",="",="",=""
="",="(0.028)",="(0.028)",="(0.028)",="(0.028)",="(0.028)",="(0.027)",="(0.064)",="(0.064)",="(0.064)",="",="",=""
="start_year=2011",="0.405***",="0.405***",="0.405***",="0.437***",="0.437***",="0.436***",="0.475***",="0.476***",="0.475***",="",="",=""
="",="(0.029)",="(0.029)",="(0.029)",="(0.028)",="(0.028)",="(0.028)",="(0.083)",="(0.083)",="(0.083)",="",="",=""
="start_year=2012",="0.382***",="0.382***",="0.382***",="0.466***",="0.465***",="0.463***",="0.478***",="0.477***",="0.474***",="",="",=""
="",="(0.029)",="(0.029)",="(0.029)",="(0.029)",="(0.029)",="(0.029)",="(0.075)",="(0.075)",="(0.075)",="",="",=""
="post_0",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1",="",="0.763***",="",="",="0.492***",="",="",="0.514***",="",="",="0.763***",=""
="",="",="(0.111)",="",="",="(0.108)",="",="",="(0.076)",="",="",="(0.076)",=""
="post_2",="",="1.042***",="",="",="0.703***",="",="",="0.729***",="",="",="1.042***",=""
="",="",="(0.111)",="",="",="(0.108)",="",="",="(0.110)",="",="",="(0.099)",=""
="post_3",="",="1.227***",="",="",="0.824***",="",="",="0.853***",="",="",="1.227***",=""
="",="",="(0.111)",="",="",="(0.108)",="",="",="(0.112)",="",="",="(0.102)",=""
="post_4",="",="1.743***",="",="",="1.279***",="",="",="1.310***",="",="",="1.743***",=""
="",="",="(0.111)",="",="",="(0.108)",="",="",="(0.169)",="",="",="(0.151)",=""
="post_5",="",="2.055***",="",="",="1.533***",="",="",="1.567***",="",="",="2.055***",=""
="",="",="(0.111)",="",="",="(0.108)",="",="",="(0.151)",="",="",="(0.145)",=""
="post_0 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Cancer Institute",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Health and Medical Rese",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # Wellcome Trust",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # INCa/INSERM/DGOS",="",="-0.046",="",="",="-0.041",="",="",="-0.042",="",="",="-0.046",=""
="",="",="(0.155)",="",="",="(0.150)",="",="",="(0.125)",="",="",="(0.114)",=""
="post_1 # National Cancer Institute",="",="-0.258**",="",="",="-0.259**",="",="",="-0.258***",="",="",="-0.258***",=""
="",="",="(0.116)",="",="",="(0.113)",="",="",="(0.080)",="",="",="(0.079)",=""
="post_1 # National Health and Medical Rese",="",="0.140",="",="",="0.134",="",="",="0.136",="",="",="0.140",=""
="",="",="(0.138)",="",="",="(0.135)",="",="",="(0.102)",="",="",="(0.108)",=""
="post_1 # Wellcome Trust",="",="0.071",="",="",="0.020",="",="",="0.032",="",="",="0.071",=""
="",="",="(0.235)",="",="",="(0.229)",="",="",="(0.148)",="",="",="(0.155)",=""
="post_2 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_2 # INCa/INSERM/DGOS",="",="0.028",="",="",="0.034",="",="",="0.033",="",="",="0.028",=""
="",="",="(0.155)",="",="",="(0.150)",="",="",="(0.147)",="",="",="(0.139)",=""
="post_2 # National Cancer Institute",="",="-0.358***",="",="",="-0.359***",="",="",="-0.359***",="",="",="-0.358***",=""
="",="",="(0.116)",="",="",="(0.113)",="",="",="(0.115)",="",="",="(0.102)",=""
="post_2 # National Health and Medical Rese",="",="0.021",="",="",="0.014",="",="",="0.016",="",="",="0.021",=""
="",="",="(0.138)",="",="",="(0.135)",="",="",="(0.135)",="",="",="(0.129)",=""
="post_2 # Wellcome Trust",="",="0.328",="",="",="0.263",="",="",="0.278",="",="",="0.328",=""
="",="",="(0.235)",="",="",="(0.229)",="",="",="(0.260)",="",="",="(0.260)",=""
="post_3 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_3 # INCa/INSERM/DGOS",="",="0.135",="",="",="0.142",="",="",="0.141",="",="",="0.135",=""
="",="",="(0.155)",="",="",="(0.150)",="",="",="(0.153)",="",="",="(0.147)",=""
="post_3 # National Cancer Institute",="",="-0.315***",="",="",="-0.316***",="",="",="-0.316***",="",="",="-0.315***",=""
="",="",="(0.116)",="",="",="(0.113)",="",="",="(0.118)",="",="",="(0.107)",=""
="post_3 # National Health and Medical Rese",="",="0.007",="",="",="-0.001",="",="",="0.001",="",="",="0.007",=""
="",="",="(0.138)",="",="",="(0.135)",="",="",="(0.149)",="",="",="(0.135)",=""
="post_3 # Wellcome Trust",="",="0.595**",="",="",="0.515**",="",="",="0.533*",="",="",="0.595**",=""
="",="",="(0.235)",="",="",="(0.229)",="",="",="(0.275)",="",="",="(0.276)",=""
="post_4 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_4 # INCa/INSERM/DGOS",="",="-0.006",="",="",="0.002",="",="",="-0.000",="",="",="-0.006",=""
="",="",="(0.155)",="",="",="(0.150)",="",="",="(0.218)",="",="",="(0.207)",=""
="post_4 # National Cancer Institute",="",="-0.544***",="",="",="-0.546***",="",="",="-0.545***",="",="",="-0.544***",=""
="",="",="(0.116)",="",="",="(0.113)",="",="",="(0.177)",="",="",="(0.156)",=""
="post_4 # National Health and Medical Rese",="",="0.141",="",="",="0.131",="",="",="0.133",="",="",="0.141",=""
="",="",="(0.138)",="",="",="(0.135)",="",="",="(0.205)",="",="",="(0.190)",=""
="post_4 # Wellcome Trust",="",="0.152",="",="",="0.058",="",="",="0.079",="",="",="0.152",=""
="",="",="(0.235)",="",="",="(0.229)",="",="",="(0.274)",="",="",="(0.306)",=""
="post_5 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_5 # INCa/INSERM/DGOS",="",="0.201",="",="",="0.209",="",="",="0.207",="",="",="0.201",=""
="",="",="(0.155)",="",="",="(0.150)",="",="",="(0.225)",="",="",="(0.215)",=""
="post_5 # National Cancer Institute",="",="-0.750***",="",="",="-0.752***",="",="",="-0.751***",="",="",="-0.750***",=""
="",="",="(0.116)",="",="",="(0.113)",="",="",="(0.158)",="",="",="(0.151)",=""
="post_5 # National Health and Medical Rese",="",="-0.053",="",="",="-0.064",="",="",="-0.061",="",="",="-0.053",=""
="",="",="(0.138)",="",="",="(0.135)",="",="",="(0.198)",="",="",="(0.190)",=""
="post_5 # Wellcome Trust",="",="0.373",="",="",="0.264",="",="",="0.289",="",="",="0.373",=""
="",="",="(0.235)",="",="",="(0.229)",="",="",="(0.381)",="",="",="(0.389)",=""
="post_1",="",="",="1.193***",="",="",="0.720***",="",="",="0.769***",="",="",="1.193***"
="",="",="",="(0.145)",="",="",="(0.141)",="",="",="(0.099)",="",="",="(0.099)"
="post_2",="",="",="1.473***",="",="",="0.933***",="",="",="0.987***",="",="",="1.473***"
="",="",="",="(0.145)",="",="",="(0.142)",="",="",="(0.132)",="",="",="(0.119)"
="post_3",="",="",="1.658***",="",="",="1.055***",="",="",="1.113***",="",="",="1.658***"
="",="",="",="(0.145)",="",="",="(0.142)",="",="",="(0.133)",="",="",="(0.121)"
="post_4",="",="",="2.173***",="",="",="1.510***",="",="",="1.572***",="",="",="2.173***"
="",="",="",="(0.145)",="",="",="(0.142)",="",="",="(0.188)",="",="",="(0.168)"
="post_5",="",="",="2.485***",="",="",="1.766***",="",="",="1.830***",="",="",="2.485***"
="",="",="",="(0.145)",="",="",="(0.142)",="",="",="(0.169)",="",="",="(0.162)"
="pre_-1",="",="",="0.724***",="",="",="0.395***",="",="",="0.431***",="",="",="0.724***"
="",="",="",="(0.145)",="",="",="(0.141)",="",="",="(0.083)",="",="",="(0.086)"
="pre_-2",="",="",="0.488***",="",="",="0.236*",="",="",="0.264***",="",="",="0.488***"
="",="",="",="(0.145)",="",="",="(0.141)",="",="",="(0.074)",="",="",="(0.071)"
="pre_-3",="",="",="0.271*",="",="",="0.100",="",="",="0.120*",="",="",="0.271***"
="",="",="",="(0.145)",="",="",="(0.141)",="",="",="(0.061)",="",="",="(0.059)"
="pre_-4",="",="",="0.106",="",="",="0.019",="",="",="0.029",="",="",="0.106*"
="",="",="",="(0.145)",="",="",="(0.141)",="",="",="(0.058)",="",="",="(0.057)"
="pre_-5",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0",="",="",="0.994***",="",="",="0.592***",="",="",="0.635***",="",="",="0.994***"
="",="",="",="(0.145)",="",="",="(0.141)",="",="",="(0.091)",="",="",="(0.091)"
="post_1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_1 # INCa/INSERM/DGOS",="",="",="0.011",="",="",="0.018",="",="",="0.016",="",="",="0.011"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.158)",="",="",="(0.143)"
="post_1 # National Cancer Institute",="",="",="-0.387**",="",="",="-0.388***",="",="",="-0.388***",="",="",="-0.387***"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.102)",="",="",="(0.103)"
="post_1 # National Health and Medical Rese",="",="",="0.154",="",="",="0.145",="",="",="0.147",="",="",="0.154"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.136)",="",="",="(0.138)"
="post_1 # Wellcome Trust",="",="",="0.059",="",="",="-0.026",="",="",="-0.004",="",="",="0.059"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.194)",="",="",="(0.195)"
="post_2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_2 # INCa/INSERM/DGOS",="",="",="0.085",="",="",="0.093",="",="",="0.091",="",="",="0.085"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.177)",="",="",="(0.167)"
="post_2 # National Cancer Institute",="",="",="-0.487***",="",="",="-0.489***",="",="",="-0.488***",="",="",="-0.487***"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.137)",="",="",="(0.123)"
="post_2 # National Health and Medical Rese",="",="",="0.035",="",="",="0.025",="",="",="0.028",="",="",="0.035"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.166)",="",="",="(0.158)"
="post_2 # Wellcome Trust",="",="",="0.316",="",="",="0.217",="",="",="0.243",="",="",="0.316"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.300)",="",="",="(0.293)"
="post_3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_3 # INCa/INSERM/DGOS",="",="",="0.192",="",="",="0.202",="",="",="0.199",="",="",="0.192"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.185)",="",="",="(0.174)"
="post_3 # National Cancer Institute",="",="",="-0.444***",="",="",="-0.446***",="",="",="-0.445***",="",="",="-0.444***"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.138)",="",="",="(0.126)"
="post_3 # National Health and Medical Rese",="",="",="0.021",="",="",="0.009",="",="",="0.013",="",="",="0.021"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.184)",="",="",="(0.165)"
="post_3 # Wellcome Trust",="",="",="0.582*",="",="",="0.469",="",="",="0.498",="",="",="0.582*"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.304)",="",="",="(0.308)"
="post_4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_4 # INCa/INSERM/DGOS",="",="",="0.051",="",="",="0.061",="",="",="0.059",="",="",="0.051"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.242)",="",="",="(0.229)"
="post_4 # National Cancer Institute",="",="",="-0.674***",="",="",="-0.675***",="",="",="-0.675***",="",="",="-0.674***"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.197)",="",="",="(0.174)"
="post_4 # National Health and Medical Rese",="",="",="0.155",="",="",="0.142",="",="",="0.145",="",="",="0.155"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.234)",="",="",="(0.217)"
="post_4 # Wellcome Trust",="",="",="0.140",="",="",="0.012",="",="",="0.045",="",="",="0.140"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.320)",="",="",="(0.339)"
="post_5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_5 # INCa/INSERM/DGOS",="",="",="0.257",="",="",="0.269",="",="",="0.266",="",="",="0.257"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.249)",="",="",="(0.236)"
="post_5 # National Cancer Institute",="",="",="-0.879***",="",="",="-0.881***",="",="",="-0.881***",="",="",="-0.879***"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.175)",="",="",="(0.168)"
="post_5 # National Health and Medical Rese",="",="",="-0.038",="",="",="-0.053",="",="",="-0.049",="",="",="-0.038"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.226)",="",="",="(0.215)"
="post_5 # Wellcome Trust",="",="",="0.360",="",="",="0.219",="",="",="0.255",="",="",="0.360"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.416)",="",="",="(0.425)"
="pre_-1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-1 # INCa/INSERM/DGOS",="",="",="0.101",="",="",="0.105",="",="",="0.104",="",="",="0.101"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.124)",="",="",="(0.122)"
="pre_-1 # National Cancer Institute",="",="",="-0.233",="",="",="-0.233",="",="",="-0.233***",="",="",="-0.233***"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.086)",="",="",="(0.088)"
="pre_-1 # National Health and Medical Rese",="",="",="0.048",="",="",="0.042",="",="",="0.043",="",="",="0.048"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.126)",="",="",="(0.121)"
="pre_-1 # Wellcome Trust",="",="",="0.117",="",="",="0.061",="",="",="0.075",="",="",="0.117"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.202)",="",="",="(0.187)"
="pre_-2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-2 # INCa/INSERM/DGOS",="",="",="0.053",="",="",="0.056",="",="",="0.055",="",="",="0.053"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.105)",="",="",="(0.104)"
="pre_-2 # National Cancer Institute",="",="",="-0.127",="",="",="-0.128",="",="",="-0.128*",="",="",="-0.127*"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.077)",="",="",="(0.074)"
="pre_-2 # National Health and Medical Rese",="",="",="-0.008",="",="",="-0.013",="",="",="-0.012",="",="",="-0.008"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.108)",="",="",="(0.103)"
="pre_-2 # Wellcome Trust",="",="",="-0.102",="",="",="-0.144",="",="",="-0.133",="",="",="-0.102"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.147)",="",="",="(0.135)"
="pre_-3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-3 # INCa/INSERM/DGOS",="",="",="0.042",="",="",="0.044",="",="",="0.043",="",="",="0.042"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.088)",="",="",="(0.090)"
="pre_-3 # National Cancer Institute",="",="",="-0.047",="",="",="-0.048",="",="",="-0.048",="",="",="-0.047"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.063)",="",="",="(0.062)"
="pre_-3 # National Health and Medical Rese",="",="",="0.029",="",="",="0.026",="",="",="0.027",="",="",="0.029"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.097)",="",="",="(0.099)"
="pre_-3 # Wellcome Trust",="",="",="-0.064",="",="",="-0.092",="",="",="-0.085",="",="",="-0.064"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.130)",="",="",="(0.124)"
="pre_-4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-4 # INCa/INSERM/DGOS",="",="",="0.075",="",="",="0.076",="",="",="0.075",="",="",="0.075"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.085)",="",="",="(0.085)"
="pre_-4 # National Cancer Institute",="",="",="0.016",="",="",="0.016",="",="",="0.016",="",="",="0.016"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.061)",="",="",="(0.059)"
="pre_-4 # National Health and Medical Rese",="",="",="0.033",="",="",="0.032",="",="",="0.032",="",="",="0.033"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.094)",="",="",="(0.094)"
="pre_-4 # Wellcome Trust",="",="",="-0.082",="",="",="-0.096",="",="",="-0.092",="",="",="-0.082"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.104)",="",="",="(0.102)"
="pre_-5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # INCa/INSERM/DGOS",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Cancer Institute",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Health and Medical Rese",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # Wellcome Trust",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # INCa/INSERM/DGOS",="",="",="0.071",="",="",="0.077",="",="",="0.076",="",="",="0.071"
="",="",="",="(0.202)",="",="",="(0.197)",="",="",="(0.136)",="",="",="(0.132)"
="pre_0 # National Cancer Institute",="",="",="-0.384**",="",="",="-0.385***",="",="",="-0.384***",="",="",="-0.384***"
="",="",="",="(0.152)",="",="",="(0.148)",="",="",="(0.093)",="",="",="(0.094)"
="pre_0 # National Health and Medical Rese",="",="",="-0.016",="",="",="-0.024",="",="",="-0.022",="",="",="-0.016"
="",="",="",="(0.181)",="",="",="(0.176)",="",="",="(0.125)",="",="",="(0.126)"
="pre_0 # Wellcome Trust",="",="",="0.055",="",="",="-0.016",="",="",="0.002",="",="",="0.055"
="",="",="",="(0.307)",="",="",="(0.300)",="",="",="(0.194)",="",="",="(0.195)"
="rsr_career_age",="",="",="",="0.127***",="0.125***",="0.123***",="0.111***",="0.108***",="0.103***",="",="",=""
="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="",="",=""
="rsr_career_age_2",="",="",="",="-0.002***",="-0.002***",="-0.002***",="-0.001***",="-0.001***",="-0.001***",="",="",=""
="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="",=""
="Constant",="1.775***",="1.775***",="1.345***",="0.612***",="0.631***",="0.430***",="0.517***",="0.546***",="0.337**",="1.588***",="1.588***",="1.243***"
="",="(0.044)",="(0.044)",="(0.103)",="(0.045)",="(0.045)",="(0.102)",="(0.128)",="(0.128)",="(0.136)",="(0.010)",="(0.010)",="(0.017)"
="Observations",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913"
="CountryFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes",="No",="No",="No"
="ResearcherFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
