rcdc_cso,INCa/INSERM/DGOS share,National Cancer Institute share,Cancer Research UK share,Wellcome Trust share,National Health and Medical Research Council share,average_share
BREAST CANCER * 5. Treatment,0.08840081859377283,0.048715189111863046,0.06524699907663892,0.04099682107175296,0.040144611993656376,0.05670088796953683
"BREAST CANCER * 4. Early Detection, Diagnosis",0.0781988500706522,0.05801216774885586,0.0710214681440441,0.05059037238873751,0.03897467946133368,0.05935950756272468
PEDIATRIC CANCER * 5. Treatment,0.07450177849242312,0.0335753216483727,0.02291089566020314,0.010388283378746595,0.027249146574201008,0.03372508515078931
BREAST CANCER * 1. Biology,0.0654631389173122,0.07924010618369946,0.08366805170821785,0.09860354223433236,0.0827487030615815,0.08194470842102868
BREAST CANCER * 2. Etiology,0.0499772612840878,0.06391131997272624,0.07832486919052009,0.1393619436875568,0.1167983764750152,0.08967475412198123
PROSTATE CANCER * 5. Treatment,0.045765726258344304,0.026530698646558805,0.03704986149584489,0.03837420526793824,0.03332392548987985,0.036208883431713225
LUNG CANCER * 5. Treatment,0.037652877259659885,0.0318382124654435,0.021837488457987084,0.016416893732970027,0.014965190979222106,0.02454213257905652
COLO-RECTAL CANCER * 5. Treatment,0.03280465818837403,0.014010328697080843,0.027733148661126503,0.02112851952770209,0.02051581861677822,0.023238494738212337
PEDIATRIC CANCER * 1. Biology,0.03172050869755886,0.02013951094295225,0.014866112650046165,0.014759309718437785,0.019702712146869875,0.020237630831172988
"BREAST CANCER * 6. Cancer Control, Survivorship",0.03029324822556807,0.053745916725715645,0.033602262234533706,0.013794277929155314,0.05073851571109855,0.03643484416521426
"COLO-RECTAL CANCER * 4. Early Detection, Diagnosis",0.02673220289431371,0.02124483602283505,0.030605955678670416,0.02095821980018165,0.03054457973819314,0.026017158826838794
LUNG CANCER * 2. Etiology,0.02385128879793403,0.017065821118791145,0.009695290858725763,0.009309718437783832,0.00793954788592317,0.013572333419831589
BRAIN CANCER * 5. Treatment,0.022706232032353963,0.032960509408428436,0.011045706371191136,0.00812897366030881,0.011107975163293283,0.017189879327115125
PANCREATIC CANCER * 5. Treatment,0.022669687667495,0.019203087467857434,0.016331948291782084,0.005449591280653951,0.007889148724565224,0.01430869268647074
COLO-RECTAL CANCER * 1. Biology,0.022486965843200313,0.02293010117755758,0.03775392428439521,0.04302906448683017,0.03704002365400635,0.032648015889197926
"PROSTATE CANCER * 4. Early Detection, Diagnosis",0.0198618623008332,0.03119599270915476,0.04087026777469993,0.11569028156221624,0.02315942262720751,0.04615556539482234
"COLO-RECTAL CANCER * 6. Cancer Control, Survivorship",0.019537023502087088,0.018882738909611608,0.020712142197599256,0.003462761126248865,0.030679649490632465,0.018654863045235857
"BRAIN CANCER * 4. Early Detection, Diagnosis",0.018016371875456794,0.012055222060302524,0.00750230840258541,0.005517711171662125,0.0029836303523909356,0.009215048772479558
LIVER CANCER * 2. Etiology,0.018004190420503812,0.0054235686814533505,0.0031394275161588177,0.004087193460490463,0.004798000161277316,0.007090476047976751
BRAIN CANCER * 1. Biology,0.01779710568630317,0.02389913142683972,0.010537857802400737,0.016008174386920978,0.00813778458726447,0.015276010777945817
"LUNG CANCER * 4. Early Detection, Diagnosis",0.013557959362666286,0.01373142565135563,0.012638504155124654,0.008980472297910987,0.012908905195817538,0.01236345333257502
"PEDIATRIC CANCER * 4. Early Detection, Diagnosis",0.013521414997807332,0.0028603345648146945,0.0044667590027700835,0.004768392370572207,0.0025401177324409314,0.00563140373368105
COLO-RECTAL CANCER * 2. Etiology,0.013091815686465592,0.029797689449814427,0.034299015081563584,0.040985467756584924,0.04453605891997957,0.03254200937888162
PEDIATRIC CANCER * 2. Etiology,0.012717438970910686,0.007377189815990836,0.006890581717451523,0.016235240690281563,0.008325941456334161,0.010309278530193753
LIVER CANCER * 5. Treatment,0.012644350241192807,0.005148379391330308,0.0022622345337026777,0.003746594005449591,0.0013170980834878907,0.005023731251032655
PANCREATIC CANCER * 1. Biology,0.012278906592603417,0.018461079098537808,0.01576638965835642,0.016121707538601274,0.009401123565303867,0.014405841290680557
LUNG CANCER * 1. Biology,0.012242362227744481,0.02149622013954804,0.01078024007386888,0.0085149863760218,0.00928016557804478,0.012462794879045596
"PROSTATE CANCER * 6. Cancer Control, Survivorship",0.011712468937289873,0.014958710465214745,0.020821791320406274,0.014191643960036327,0.03853519877429236,0.020043962691447915
OVARIAN CANCER * 5. Treatment,0.010731861813575013,0.015289346126478634,0.01763619575253924,0.01817665758401453,0.012115958390452378,0.014790003933411958
CERVICAL CANCER * 2. Etiology,0.010147151975831992,0.011596387555650631,0.01030701754385965,0.01033151680290645,0.018268016020213423,0.012130017979692428
"LIVER CANCER * 4. Early Detection, Diagnosis",0.009988793061443258,0.003373575589038777,0.0014542936288088643,,0.0017740504798000162,
"PEDIATRIC CANCER * 6. Cancer Control, Survivorship",0.009940067241631344,0.008784517501444643,0.0025969529085872575,0.0022138964577656677,0.003185226997822756,0.0053441322214503335
"LUNG CANCER * 6. Cancer Control, Survivorship",0.009793889782195588,0.008468365487029337,0.012661588180978758,0.0006244323342415986,0.01412856490068005,0.009135368137025066
PROSTATE CANCER * 1. Biology,0.009404083223700245,0.03936640358422004,0.037950138504155136,0.017881471389645777,0.035649006800526815,0.028050220700449602
LIVER CANCER * 1. Biology,0.009111728304828731,0.00652321171526487,0.0026084949215143113,0.0027247956403269754,0.0019084482434212297,0.004575335765071223
"PANCREATIC CANCER * 4. Early Detection, Diagnosis",0.007442868976270526,0.008644508915241714,0.007029085872576177,0.0027247956403269754,0.00131037819530683,0.005430327519944444
"CERVICAL CANCER * 4. Early Detection, Diagnosis",0.006376991667884815,0.0072974926207676075,0.012955909510618655,0.0023841961852861036,0.014376528774561189,0.008678223751823675
OVARIAN CANCER * 2. Etiology,0.006010329873800128,0.017638853608210627,0.018536472760849493,0.017029972752043602,0.028989597613095705,0.01764104532159991
BRAIN CANCER * 2. Etiology,0.005968912926959996,0.006635181446671205,0.007052169898430287,0.044448228882833785,0.0031314678923742706,0.01344719220945391
BREAST CANCER * 3. Prevention,0.0049131868310350975,0.009738804140986062,0.00525546321945214,0.0006811989100817438,0.005254952557589444,0.005168721131828897
PANCREATIC CANCER * 2. Etiology,0.004784063408533515,0.007946322862028038,0.0043051708217913195,0.0014759309718437783,0.0042200897777061,0.0045463155683805505
"OVARIAN CANCER * 6. Cancer Control, Survivorship",0.004568045607367344,0.0034406088776584914,0.0045764081255771005,0.0025544959128065395,0.007912668333198937,0.004610445371321682
"OVARIAN CANCER * 4. Early Detection, Diagnosis",0.004214783413730936,0.008038981064302926,0.013394506001846723,0.0037579473206176203,0.005213961239684973,0.006924035808036635
"BRAIN CANCER * 6. Cancer Control, Survivorship",0.00409296886420114,0.001904042497248107,0.001396583564173592,0.00017029972752043596,0.0020831653361288067,0.0019294119978544165
"PANCREATIC CANCER * 6. Cancer Control, Survivorship",0.0037194042456430996,0.0014832739875188102,0.00286241920590951,0.004768392370572207,0.00342714297234094,0.0032521265563969135
PROSTATE CANCER * 2. Etiology,0.0034156799688154754,0.020722013509157304,0.035660972606955964,0.023671662125340595,0.026083245974786975,0.021910714837011264
COLO-RECTAL CANCER * 3. Prevention,0.0034026864168656304,0.01028450338917338,0.009029701446598955,0.0010217983651226157,0.0072507593473644626,0.006197889793025009
"LIVER CANCER * 6. Cancer Control, Survivorship",0.003264629927398529,0.0015464078327562148,0.0009464450600184672,0.0010217983651226157,0.0010886218853318282,0.001573580614125531
OVARIAN CANCER * 1. Biology,0.002813916094138284,0.013697333374927435,0.009256694367497691,0.012091280653950952,0.018513291938822143,0.011274503285867302
CERVICAL CANCER * 5. Treatment,0.0022901135311601617,0.0011798601548190437,0.0010041551246537397,0.0011920980926430518,0.0019487675725075933,0.001522998895156718
LUNG CANCER * 3. Prevention,0.0021804804365833457,0.006623854492084496,0.0029547553093259467,0.0027247956403269754,0.0021772437706636554,0.003332225929796884
UTERINE CANCER * 2. Etiology,0.002022121522194611,0.005103071572983452,0.003901200369344413,0.009536784741144416,0.007613633309141732,0.005635362302961725
HPV AND/OR CERVICAL CANCER VACCINES * 3. Prevention,0.0019246698825707744,0.0027518929012304407,0.0032663896583564177,0.006811989100817439,0.008635056312662957,0.004677999571127606
"CERVICAL CANCER * 6. Cancer Control, Survivorship",0.0018333089704234275,0.0028930898892260922,0.0034568328716528163,0.0008514986376021798,0.00523143294895573,0.0028532326635720496
HPV AND/OR CERVICAL CANCER VACCINES * 2. Etiology,0.0011572382205330604,0.001390430097463802,0.0007271468144044322,0.0017029972752043597,0.002405719968819719,0.0014767064752850747
PROSTATE CANCER * 3. Prevention,0.0010963309457681625,0.007077823976897461,0.006536626654355187,0.00045413260672116256,0.001357417412574255,0.0033044663192632454
CERVICAL CANCER * 3. Prevention,0.0010476051259562442,0.00225075872026953,0.0022968605724838415,0.004768392370572207,0.005396070209391715,0.0031519373997347076
"UTERINE CANCER * 4. Early Detection, Diagnosis",0.0009745163962383668,0.0005916012674305118,0.0009464450600184672,,0.0009340644571674329,
PANCREATIC CANCER * 3. Prevention,0.0006131332326333057,0.0017696045444484554,0.0008310249307479224,,0.000846705910813644,
LIVER CANCER * 3. Prevention,0.0004872581981191833,0.0006695901350767192,0.00032317636195752536,,8.063865817272801e-05,
CERVICAL CANCER * 1. Biology,0.0004628952882132242,0.0010004857592327678,0.0011772853185595567,0.0022706630336058126,0.0006719888181060666,0.0011166636435434856
UTERINE CANCER * 5. Treatment,0.000438532378307265,0.000524382291030686,0.00034626038781163435,0.0013623978201634877,0.0011155014380560709,0.0007574148630738288
UTERINE CANCER * 1. Biology,0.0003654436485893875,0.0016741610254719062,0.00110803324099723,0.00715258855585831,0.003736257828669731,0.002807296859917313
"HPV AND/OR CERVICAL CANCER VACCINES * 4. Early Detection, Diagnosis",0.0002192661891536325,0.00032198261071076826,0.000554016620498615,,0.0012498992016772839,
PEDIATRIC CANCER * 3. Prevention,0.00017054036934171414,0.0004211398852895169,,,0.0005913501599333386,
BRAIN CANCER * 3. Prevention,0.000146177459435755,0.00018494502898957623,,0.00045413260672116256,8.063865817272801e-05,
OVARIAN CANCER * 3. Prevention,7.30887297178775e-05,0.0008827597066430175,0.0002077562326869806,,0.0007795070290030375,
UTERINE CANCER * 3. Prevention,7.30887297178775e-05,0.0003966290983149948,6.925207756232688e-05,,1.3439776362121334e-05,
"UTERINE CANCER * 6. Cancer Control, Survivorship",4.8725819811918335e-05,0.0006443365969817566,6.925207756232688e-05,,0.0010214230035212215,
"HPV AND/OR CERVICAL CANCER VACCINES * 6. Cancer Control, Survivorship",3.654436485893875e-05,0.0005960577741531524,0.00026546629732225304,0.0008514986376021798,0.0016732521570841064,0.0006845638462041261
HPV AND/OR CERVICAL CANCER VACCINES * 5. Treatment,2.4362909905959167e-05,0.00021725470272871908,0.0001038781163434903,0.0005108991825613079,0.00026879552724242664,0.0002250380877563806
HPV AND/OR CERVICAL CANCER VACCINES * 1. Biology,,3.342380041980293e-06,,,,
